submission,zindi_id,predpos_full,public_P,TP,FP,FN,TN,precision,recall,lb_auc,lb_f1,lb_blended,note
agent_candidate_model_v4,vxXze6iu,0.568932038835,188.0,165.0,23.0,16.0,129.0,0.8776595744680851,0.9116022099447514,0.950239895,0.894308943,0.916681323,OFFICIAL PUBLIC RESULT observed on the authenticated Zindi submissions page (rank 61). Public-feedback splice; not a clean raw-data-only artifact.
sub_076_aucmax_labels_reissue_8GdM3LZo,8GdM3LZo,0.5573,186.0,164.0,22.0,17.0,130.0,0.8817204301075269,0.9060773480662984,0.949585635,0.89373297,0.916074036,MEASURED REISSUE: exact match to the historical sub_076 result; superseded by sub_202 as account public best.
sub_076_aucmax_labels,44gmd1Ss,0.5573,186.0,164.0,22.0,17.0,130.0,0.8817,0.9061,0.949585635,0.89373297,0.916074036,"NEW BEST +0.0009 and NEW AUC RECORD 0.9496 - sub_067 ranking with sub_075 label set, composed piecewise. Both records in one file."
sub_183_aucwrank_f1lock,kGE3iqbN,0.5572815533980583,186.0,164.0,22.0,17.0,130.0,0.8817204301075269,0.9060773480662984,0.949512939,0.89373297,0.916044957,F1-locked AUC re-rank of top measured parents (READY_USER_1). F1 bit-identical to sub_076 as designed (flips=0). AUC −0.000073 (~2 concordant pairs) vs 076; blended 0.916045 < 0.916074. rho076=0.9969. REFUTED as improvement. Do not upload further near-duplicate F1-lock reweights (190/172/203 family). Keep WINNING_PRIMARY=sub_076.
sub_075_fpadopt,SpsYdKw7,0.5573,186.0,164.0,22.0,17.0,130.0,0.8817,0.9061,0.947223029,0.89373297,0.915128993,"NEW BEST by a hair (+0.00008, statistical tie with 073) - FP-specialist demotions were 57% precise publicly (-4FP -3TP). F1 line saturated at 0.9151. Best precision ever 0.8817."
sub_073_harvest,ZaBu8wot,0.5738,193.0,167.0,26.0,14.0,126.0,0.8653,0.9227,0.948059028,0.893048128,0.915052488,NEW BEST - 068+069 mean ranking with 068 label set + 6 committee-harvested q-gated corrections. Public labels identical to 068; AUC +0.00065. Third consecutive best from the veto line.
sub_068_qveto,qd6cdKJj,0.5757,193.0,167.0,26.0,14.0,126.0,0.8653,0.9227,0.947404768,0.893048128,0.914790784,NEW BEST - sub_060 transduction with pseudo-q veto on low-confidence up-flips. F1 record 0.8930. q embeds aggregate LB info (compliance note in plan).
sub_102b_integrated_076labels,WmJa7J1o,0.5573,186.0,164.0,22.0,17.0,130.0,0.8817,0.9061,0.946350683,0.89373297,0.914780055,"CONTROLLED EXPERIMENT (F1 column bit-identical to sub_076, so a pure AUC readout): window-expert core + boundary reorder scores AUC 0.946351 vs sub_076 0.949586 = -0.0032. Expert ranking is WORSE. Permutation-null z +3.54 (project record) was WRONG; the q-independent icc instrument (mildly negative) was RIGHT. Expert line CLOSED; do not upload sub_102."
sub_079b_feats_freelabels,MByz3fSc,0.5757,191.0,166.0,25.0,15.0,127.0,0.8691,0.9171,0.948131724,0.892473118,0.91473656,"Confuser-physics features (VV wind-roughness, drainage transients, NDCI/NDTI), own labels - gained 2 TP but added 3 FP, net -0.0013 vs sub_076. The physics gamble on the consensus-wrong FPs did NOT pay. Instrument screen was correct."
sub_071_impute2,unknownid,0.5689,188.0,165.0,23.0,16.0,129.0,0.8777,0.9116,0.944460599,0.894308943,0.914369605,NEW F1 RECORD 0.8943 - impute member at 20% removes FPs consensus cannot see (best precision ever 0.8777). AUC cost -0.0036. The impute member is an independent FP detector.
sub_094_multitask,W8aCRnnp,0.567,189.0,165.0,24.0,16.0,128.0,0.873,0.9116,0.947877289,0.891891891,0.914286051,Privileged auxiliary multitask heads: TP165/FP24 - gained 1 TP over sub_076 but added 2 FP. 4th best ever. AUC 0.947877 < 0.949586.
sub_069_stack,GQuYRf5z,0.566,190.0,165.0,25.0,16.0,127.0,0.8684,0.9116,0.948749636,0.88948787,0.913192576,"r19 sub_067 ranking + symmetric fresh-q veto - AUC 2nd best (+0.0011) but veto too aggressive: public confusion identical to sub_056. Keep ranking, need 068-style asymmetric flips."
sub_052_w05r1_seq25,KQZ28kX4,0.5699,190.0,165.0,25.0,16.0,127.0,0.8684,0.9116,0.947914,0.889488,0.912858,NEW BEST - F3 recipe at class weight 0.5 / stage ratio 1. Operating point 207->190.
sub_056_notebook_w05r1_reissue_24GcnwvD,24GcnwvD,0.5699,190.0,165.0,25.0,16.0,127.0,0.868421052631579,0.9116022099447514,0.947695551,0.88948787,0.912770942,MEASURED REISSUE: exactly matches the deterministic sub_056 notebook score and metrics; confirms fallback reproducibility.
sub_056_notebook_w05r1,hgB1G4Bq,0.5699,190.0,165.0,25.0,16.0,127.0,0.8684,0.9116,0.947695551,0.88948787,0.912770942,notebook deterministic re-issue of sub_052 - replication PASSED (F1 identical / same labels; dAUC -0.0002). Selection slot 1.
sub_087_plugin,mxZU65qG,0.5388,177.0,159.0,18.0,22.0,134.0,0.8983,0.8785,0.949512939,0.888268156,0.912766069,"Plug-in operating point 0.5388 on sub_076 ranking. AUC PRESERVED 0.949513 (ranking intact, as designed). The 9 removed public rows were 5 TP / 4 FP = 55.6% pure, WELL ABOVE the 44.7% break-even -> removal HURTS. Combined with expansions measuring 33-43% pure, sub_076 P=186 is now BRACKETED as the F1 optimum from both sides. Refutes the binormal claim that the optimum was at predpos 0.53-0.55."
sub_070_qveto2,W7DkfzAx,0.5748,192.0,166.0,26.0,15.0,126.0,0.8646,0.9171,0.946750508,0.890080428,0.91274846,r19 fresh-q SYMMETRIC veto on sub_060 - worse than stale-q asymmetric (068): fresh q vetoed one true TP. Veto line saturated within noise; sub_073 stands.
agent_candidate_notebook_pw04,qApEjZB8,0.5611650485436893,188.0,164.0,24.0,17.0,128.0,0.8723404255319149,0.9060773480662984,0.947295725,0.888888888,0.912251623,USER-REPORTED PUBLIC RESULT; measured score below FINAL_SECONDARY (0.912770942); POS_WEIGHT=0.4 control REFUTED.
sub_068b_memberveto,nEMVkdA5,0.5786,195.0,167.0,28.0,14.0,124.0,0.8564,0.9227,0.947441116,0.888297872,0.91195517,r18 member-consensus veto on sub_060 flips - works but weaker than q-veto.
sub_066_impute_blend,VLQR3VXS,0.5689,187.0,164.0,23.0,17.0,129.0,0.877,0.9061,0.942279732,0.891304347,0.911694501,"r18 imputation member at 30% - best FP count ever (23), F1 +0.0018, but AUC -0.0054: member dilutes ranking at this weight."
sub_093_experts,LSGsTEJ8,0.5641,189.0,164.0,25.0,17.0,127.0,0.8677,0.9061,0.947877289,0.886486486,0.911043,"Member-A window experts alone (the drift-stress-passing variant): TP164/FP25 - same TP as sub_076, 3 more FP. Expert line now refuted in BOTH forms (A-only and A+B). Identical AUC to sub_094 = coincidence, both hit 26082/27512 concordant pairs (rankings differ, spearman 0.988)."
sub_067b_ratefix_st,kTdFqEB7,0.567,189.0,164.0,25.0,17.0,127.0,0.8677,0.9061,0.947477464,0.886486486,0.910882877,r18 selftrain conservative variant - neutral as designed.
sub_060_affine_graph,6ngzc7pS,0.5961,205.0,171.0,34.0,10.0,118.0,0.8341,0.9448,0.948168072,0.886010362,0.910873446,"r17 transduction on sub_056 - AUC 2nd best ever (+0.0005), F1 -0.0035 from operating-point overshoot (flips 40% precise, not sim 95%). Mechanism real, rate must stay ~0.57."
sub_053_w05r1_bal11seq25,83VoGiaS,0.5825,196.0,167.0,29.0,14.0,123.0,0.852,0.9227,0.946969,0.885942,0.910352,11-model sequence ensemble instead of 2-model - WORSE. More members dilute.
sub_052_w05r1_seq70,KRXrkjkp,0.5728,193.0,166.0,27.0,15.0,125.0,0.8601,0.9171,0.943188,0.887701,0.909896,sequence weight 0.70 - WORSE than 0.25. Offline seq protocol confirmed inflated.
sub_077_presto15,D5FRi35r,0.5748,192.0,165.0,27.0,16.0,125.0,0.8594,0.9116,0.945405641,0.884718498,0.908993355,"Presto foundation-model member at 15% - REFUTED on board (-0.0038 vs sub_056, AUC -0.0023). Masked-CV gain did not transfer; pruned dims still carried domain signal. Do NOT upload 077b. Foundation-model line closed."
sub_304_gap_gated_impute,pTN7ZgNn,0.5514563106796116,183.0,160.0,23.0,21.0,129.0,0.8743169398907104,0.8839779005524862,0.953184065,0.879120879,0.908746153,"OFFICIAL PUBLIC RESULT observed on authenticated Zindi. Clean mask-conditioned imputation gate kept 20% imputation on 757 clear rows and raised it only on 273 optical-gap rows. REFUTED: versus sub_202 it lost 4 TP, added 2 FP, and reduced AUC by 0.00276. Do not upload further gap-gate variants."
sub_048_F3_core75_seq25,SPF9q1uy,0.6155,207.0,171.0,36.0,10.0,116.0,0.8261,0.9448,0.948568,0.881443,0.908293138,NEW BEST - F2 core + 25% temporal CNN/transformer
sub_067_ratefix,QXZsccZv,0.5699,196.0,166.0,30.0,15.0,122.0,0.8469,0.9171,0.948931375,0.880636604,0.907954513,r18 transduction at proven rate via w0.20 retrain - BEST AUC EVER (+0.0012) but 19-swap netted +5 public FP (F1 -0.009).
sub_048_F2_ts_zoo,UTAQG2aX,0.6078,205.0,170.0,35.0,11.0,117.0,0.8293,0.9392,0.945733,0.880829,0.906790517,refined two-stage + 4-model zoo blend
sub_064_hedge,kV7dgpEp,0.5903,200.0,168.0,32.0,13.0,120.0,0.84,0.9282,0.943261122,0.881889763,0.906438307,r17 50/50 hedge of sub_063 with sub_056; live authenticated download filename corrected the prior swapped ledger mapping.
sub_054_gapfix,KB7TC8BA,0.5767,194.0,165.0,29.0,16.0,123.0,0.8505,0.9116,0.946096,0.88,0.906438,"correlated cloud-gap simulation - physically correct, scored WORSE"
sub_085_denoise,jdGZTD2R,0.5748,194.0,165.0,29.0,16.0,123.0,0.8505,0.9116,0.945514684,0.88,0.906205873,"Train-label cleaning (drop 25 suspects): TP165/FP29 - gained 1 TP, paid 7 FP. F1 0.880 (-0.0137). Consistent with train being 99.4% clean; operating point 0.5748 also in the asymmetric-regret penalty zone. Highest non-circular icc among untested candidates and it still lost -> icc ordering is weak, as recalibrated."
sub_046_twostage_softgate,KGxA7p3K,0.6087,207.0,171.0,36.0,10.0,116.0,0.8261,0.9448,0.939045,0.881443,0.904484,NEW BEST - two-stage soft water gate + confuser features. BEST AUC 0.9390
sub_047_E2_ts60_c340,JiESL1DT,0.6097,207.0,171.0,36.0,10.0,116.0,0.8261,0.9448,0.937409,0.881443,0.903829631,0.6*twostage+0.4*C3 - blending DILUTED the stronger ranking
sub_044_c3_family_ensemble,1psxuUZo,0.6117,207.0,172.0,35.0,9.0,117.0,0.8309,0.9503,0.929449,0.886598,0.903738,BEST - greedy47 4-family prob ensemble + class weight 1.8
sub_301_catboost_physical,noX5qitu,0.5553398058252427,184.0,161.0,23.0,20.0,129.0,0.875,0.8895027624309392,0.934028787,0.88219178,0.902926583,"OFFICIAL PUBLIC RESULT observed on authenticated Zindi. Clean raw-only CatBoost with duplicate-grouped strict CV and conditional empirical-mask replay. REFUTED versus sub_202: AUC -0.02192, F1 -0.01398, blended -0.01716. Do not upload correlated sub_302."
sub_034_pure_invariant_prior,DMHZMTyR,0.6136,208.0,172.0,36.0,9.0,116.0,0.8269,0.9503,0.927413,0.884319,0.901557,45 invariant features + post-hoc m=2.0 odds multiplier
sub_062_augcore,wdGbyxqo,0.5854,201.0,167.0,34.0,14.0,118.0,0.8308,0.9227,0.941770863,0.874345549,0.901315675,r17 tabular members affine-hardened - REFUTED (-0.0115).
sub_061_dann_blend,8ifbC81Z,0.5845,198.0,165.0,33.0,16.0,119.0,0.8333,0.9116,0.944242512,0.870712401,0.900124445,r17 DANN embedding member at 15%; live authenticated download filename corrected the prior swapped ledger mapping.
sub_063_full,zC5JVjvc,0.5893,202.0,168.0,34.0,13.0,118.0,0.8317,0.9282,0.933883396,0.877284595,0.899924115,r17 flagship - all 3 members affine-drift-hardened. REFUTED on board (-0.0128). Affine sim was self-confirming.
sub_035_invariant_x_best,ChyscHUm,0.634,213.0,173.0,40.0,8.0,112.0,0.8122,0.9558,0.932284,0.878173,0.899817,invariant x validator-best combination
sub_041_three_family_avg,iaMfNP6m,0.634,214.0,172.0,42.0,9.0,110.0,0.8037,0.9503,0.932975,0.870886,0.895722,invariant+tempcnn+twostage - BEST AUC but over-predicts
sub_038_rank_consensus,zTb77gMa,0.6068,207.0,169.0,38.0,12.0,114.0,0.8164,0.9337,0.927632,0.871134,0.893733,rank average across families
sub_043_c2_greedy47_xt,WL4cYxVf,0.6117,206.0,169.0,37.0,12.0,115.0,0.8204,0.9337,0.922179,0.873385,0.892903,"C2 ablation - GBM only, no MLP/CNN. Diversity worth +0.0108"
sub_306_catboost_imputed_year,ekcp7ybg,0.5446601941747573,179.0,156.0,23.0,25.0,129.0,0.8715083798882681,0.861878453038674,0.928503925,0.866666666,0.89140157,OFFICIAL PUBLIC RESULT observed on authenticated Zindi. Clean full-year kNN/LGB-imputed physical CatBoost. REFUTED: AUC -0.02744 and F1 -0.02951 versus sub_202; retained precision but lost 8 true positives. CatBoost standalone line closed.
agent_stack_exactmask_pw07_w050,prkfLjvz,0.58835,,,,,,,,0.916072986,0.870712401,0.888856635,measured just now; exact-mask equal blend underperformed incumbent; no public labels used
agent_temporal_cal_log_a0.1_w0.50,e5NWXVpC,0.5718,,,,,,,,0.927522535,0.8548387096774194,0.88391224,"MEASURED REFUTED: temporal empirical-rank kNN + OOF Platt calibration; public AUC 0.927522535, F1 0.854838710, blended 0.883912240. Public confusion counts were not supplied; local stress gain did not transfer. Do not select/upload."
agent_candidate_model_v3,JqMm1fZr,0.6087378640776699,,,,,,,,0.909748473,0.864450127,0.882569466,USER-REPORTED PUBLIC RESULT; REFUTED against measured incumbent sub_076 (0.916074036) and sub_056 (0.912770942). Offline CV was misleading; do not select or re-upload.
sub_036_invariant2,3utiu8da,0.6,204.0,166.0,38.0,15.0,114.0,0.8137,0.9171,0.912111,0.862338,0.882247,78-feature agent2 family - adv_sep 0.965 too high
agent_candidate_model_v1,eftjEsdm,0.6077669902912621,,,,,,,,0.908730735,0.858611825,0.878659389,OFFICIAL PUBLIC RESULT; authenticated download filename corrected the prior v1/v2 swap. REFUTED against sub_076 and sub_056; do not select or re-upload.
sub_028_validated_plus_core,LNiWZf44,0.5641,189.0,157.0,32.0,24.0,120.0,0.8307,0.8674,0.914038,0.848649,0.874804,validator-selected 30 features + perm core
sub_018_perm_core,2ASbBsMZ,0.5175,175.0,149.0,26.0,32.0,126.0,0.8514,0.8232,0.913311,0.837079,0.867571,15 low-drift permanence features shallow GBM
sub_001_blend3_augmented,JsdTDpMY,0.5932,203.0,158.0,45.0,23.0,107.0,0.7783,0.8729,0.838652,0.822917,0.829211,aggregate features 3-member blend
agent_candidate_model_v2,1LyBmKbG,0.6572815533980583,,,,,,,,0.818988077,0.822942643,0.821360817,OFFICIAL PUBLIC RESULT; authenticated download filename corrected the prior v1/v2 swap. REFUTED against sub_076 and sub_056; do not select or re-upload.
sub_045_level_alpha2_randomised,zzcdG2Fs,0.5816,196.0,154.0,42.0,27.0,110.0,0.7857,0.8508,0.789147,0.816976,0.805844,PROBE absolute levels + domain randomisation a=2 - adv_sep 0.984 - HYPOTHESIS REJECTED
sub_006_raw_plus_agg,SiDP1Lh4,0.4641,150.0,120.0,30.0,61.0,122.0,0.8,0.663,0.844286,0.725076,0.77276,raw 144 + aggregates
sub_020_frontier6,XRYP3q5z,0.5592,185.0,136.0,49.0,45.0,103.0,0.7351,0.7514,0.811537,0.743169,0.770516,6 features sep<0.05 - frontier overshoot
sub_125_pure_waterdyn,oV6zK6Qp,0.5572815533980583,181.0,130.0,51.0,51.0,101.0,0.7182320441988951,0.7182320441988951,0.760577202,0.718232044,0.735170107,PURE waterdyn REFUTED. Board 0.735 vs sub_076 0.916. Clean-CV 0.992 / offline-unjudgeable hypothesis FAILS. Do not upload pure SAR/presto without extreme caution; pure-diversity line likely shift-broken. Keep selections sub_076+sub_056.
sub_005_raw_monthly,rwpcgXUo,0.2913,89.0,74.0,15.0,107.0,137.0,0.8315,0.4088,0.79558,0.548148,0.647121,raw 144 monthly columns only
agent_candidate_notebook_testmask,UNSCORED,0.5631067961165048,,,,,,,,,,,AWAITING PUBLIC MEASUREMENT; clean notebook architecture with POS_WEIGHT=0.4 and exact unlabeled Test optical-mask replay by window start/length. No Test labels or leaderboard feedback.
agent_candidate_notebook_testmask_pw05,UNSCORED,0.5786407766990291,,,,,,,,,,,AWAITING PUBLIC MEASUREMENT; controlled exact unlabeled Test optical-mask replay with the proven POS_WEIGHT=0.5. No Test labels or leaderboard feedback.
agent_candidate_clean_ensemble3,UNSCORED,0.5679611650485437,,,,,,,,,,,AWAITING PUBLIC MEASUREMENT; fixed equal average of the three clean notebook candidates; raw-data-only and ledger-independent.
agent_candidate_testmask_ensemble,UNSCORED,0.5689320388349515,,,,,,,,,,,AWAITING PUBLIC MEASUREMENT; fixed equal average of the two exact Test-mask candidates; raw-data-only and ledger-independent.
sub_200_clean_impute,UNSCORED,0.570873786407767,,,,,,,,,,,AWAITING PUBLIC MEASUREMENT; raw rebuild completed successfully; fixed 0.80 clean notebook baseline plus 0.20 full-year imputation member.
agent_candidate_exactmask_seq_pw05,UNSCORED,0.5815533980582523,,,,,,,,,,,AWAITING PUBLIC MEASUREMENT; fixed exact Test-mask replay in tabular and sequence augmentation with POS_WEIGHT=0.5; raw-data-only.
agent_candidate_missingness_conditioned,UNSCORED,0.5621359223300971,,,,,,,,,,,"AWAITING PUBLIC MEASUREMENT; raw-data-only diagonal-Gaussian exact-mask likelihood experiment. Masked local diagnostic blend 0.8572, materially below the notebook proxy; exploratory only and not in the upload order."
agent_candidate_clean_hedge4,UNSCORED,0.5747572815533981,,,,,,,,,,,"AWAITING PUBLIC MEASUREMENT; fixed equal average of clean baseline, exact-mask POS_WEIGHT=0.5, exact-mask sequence, and raw-rebuilt imputation candidates."
sub_203_clean_impute_knn5,UNSCORED,0.5786407766990291,,,,,,,,,,,AWAITING PUBLIC MEASUREMENT; fixed 0.75 clean notebook baseline plus 0.25 raw-rebuilt kNN5 imputation Member-A candidate. Weight fixed from train-side masked CV only.
fresh_raw_affine_invariant_bag_20260810,UNSCORED,0.358252427184466,,,,,,,,,,,"QUARANTINED; new raw-data-only affine-invariant LightGBM bag. Mechanical checks pass, but fixed 0.5 operating point is far below the measured clean family. No public measurement."
agent_candidate_raw_calibrated_bagging_20260810,UNSCORED,0.4203883495145631,,,,,,,,,,,QUARANTINED; raw-only hybrid bagging candidate. Its meta-calibrator was evaluated on the same OOF rows used for fitting and its Test operating point is far below the clean family. Mechanical checks pass; no public measurement.
agent_candidate_seq_actualmask_freq_20260810,UNSCORED,0.5786407766990291,,,,,,,,,,,"AWAITING PUBLIC MEASUREMENT; raw-data-only sequence challenger that samples complete unlabeled Test finite-mask templates in empirical frequency, with corrected month-major geometry audit. No public feedback or hidden labels."
agent_candidate_raw_temporal_window_robust_20260810,UNSCORED,0.470873786407767,,,,,,,,,,,"QUARANTINED; raw-data-only empirical-mask temporal-window model. Masked CV is strong, but 485 predicted positives is far below the measured clean family; no public measurement."
agent_clean_flagship_raw_20260811,UNSCORED,0.554368932038835,,,,,,,,,,,"RAW-REBUILT high-upside flagship: fresh notebook sequence member plus raw positive-weight core, raw graph transduction, and fixed predeclared blend. Its 571 binary labels exactly match the measured sub_202 labels, but its public score is not yet known."
agent_independent_20260811_mask_robust_ensemble,UNSCORED,0.542718446601942,,,,,,,,,,,"INDEPENDENT RAW-ONLY candidate from a new row-normalized physical/window-relative feature path; deterministic byte-identical rebuild, 559 positives, masked-CV composite 0.962772. Reserve pending public measurement."
sub_310_compositional_flagship_blend50,rq1Ptrxj,0.5339805825242718,,,,,,,,0.934683047,0.86197183,0.891056317,"MEASURED PUBLIC RESULT; compositional 50/50 blend refuted against incumbent sub_308 (0.920592385). Deltas: public -0.029536068, AUC -0.022535621, F1 -0.034203033. Withdraw sub_311 and close the compositional family."
sub_312_metric_locked_independent,UNSCORED,0.554368932038835,,,,,,,,,,,OFFLINE-ONLY candidate; exact sub_308 binary decisions (571 positives) with within-side ordering from the independent raw-only physical/window model. Recorded masked-CV composite 0.962772. Pearson 0.901779 to incumbent raw probabilities; no public result. Do not upload without explicit action-time authorization.
sub_313_metric_locked_knn5_decisions,UNSCORED,0.5786407766990291,,,,,,,,,,,OFFLINE-ONLY operating-point variant; 596 decisions from sub_203_clean_impute_knn5 and within-side ordering from measured sub_201 transduction. No public result; not queued.
sub_314_metric_locked_impute_decisions,UNSCORED,0.570873786407767,,,,,,,,,,,OFFLINE-ONLY operating-point variant; 588 decisions from sub_200_clean_impute and within-side ordering from measured sub_201 transduction. No public result; not queued.
sub_315_metric_locked_testmask_decisions,UNSCORED,0.5786407766990291,,,,,,,,,,,OFFLINE-ONLY operating-point variant; 596 decisions from agent_candidate_notebook_testmask_pw05 and within-side ordering from measured sub_201 transduction. No public result; not queued.
sub_316_metric_locked_exactseq_decisions,UNSCORED,0.5815533980582523,,,,,,,,,,,OFFLINE-ONLY operating-point variant; 599 decisions from agent_candidate_exactmask_seq_pw05 and within-side ordering from measured sub_201 transduction. No public result; not queued.
sub_317_metric_locked_sub210_anchor,UNSCORED,0.554368932038835,,,,,,,,,,,OFFLINE-ONLY two-graph transduction ranking with exact sub_308 decisions (571 positives). Documented paired simulation delta +0.00025 AUC versus one-graph operator; no public result; not queued.
sub_318_metric_locked_sub210_knn5,UNSCORED,0.5786407766990291,,,,,,,,,,,OFFLINE-ONLY two-graph transduction ranking with sub_203 kNN5 decisions (596 positives). Documented paired simulation delta +0.00025 AUC versus one-graph operator; no public result; not queued.
sub_319_metric_locked_tm90_anchor,UNSCORED,0.554368932038835,,,,,,,,,,,OFFLINE-ONLY fixed 90/10 percentile-rank blend of sub210 transduction and independent MICE member with exact sub_308 decisions (571 positives). Masked-OOF source delta approximately +0.00038 AUC; no public result; not queued.
sub_320_metric_locked_tm90_knn5,UNSCORED,0.5786407766990291,,,,,,,,,,,OFFLINE-ONLY fixed 90/10 percentile-rank blend of sub210 transduction and independent MICE member with sub_203 kNN5 decisions (596 positives). Masked-OOF source delta approximately +0.00038 AUC; no public result; not queued.
sub_321_prospective_reference,UNSCORED,0.5524271844660195,,,,,,,,,,,OFFLINE-ONLY full-data fit of the frozen prospective reference using nine fixed empirical Test-mask geometries and actual Test masks. Selection-only reference evidence AUC 0.993445334 / F1 0.966598500; no public result; not queued.
sub_322_metric_locked_reference_anchor,UNSCORED,0.554368932038835,,,,,,,,,,,OFFLINE-ONLY frozen prospective-reference within-side ranking with exact sub_308 decisions (571 positives). Selection-only reference evidence AUC 0.993445334 / F1 0.966598500; no public result; not queued.
sub_323_metric_locked_reference_knn5,UNSCORED,0.5786407766990291,,,,,,,,,,,OFFLINE-ONLY frozen prospective-reference within-side ranking with fixed sub_203 kNN5 decisions (596 positives). Selection-only reference evidence AUC 0.993445334 / F1 0.966598500; no public result; not queued.
sub_324_prospective_reference_all,UNSCORED,0.5621359223300971,,,,,,,,,,,OFFLINE-ONLY all-24-geometry frozen prospective-reference fit. Same sealed selection protocol improved composite by +0.000808071 versus nine geometries; no public result; not queued.
sub_325_metric_locked_reference_all_anchor,UNSCORED,0.554368932038835,,,,,,,,,,,OFFLINE-ONLY all-24-geometry frozen-reference within-side ranking with exact sub_308 decisions (571 positives). Sealed selection composite delta +0.000808071 versus nine geometries; no public result; not queued.
sub_326_metric_locked_reference_all_knn5,UNSCORED,0.5786407766990291,,,,,,,,,,,OFFLINE-ONLY all-24-geometry frozen-reference within-side ranking with fixed sub_203 kNN5 decisions (596 positives). Sealed selection composite delta +0.000808071 versus nine geometries; no public result; not queued.
sub_327_reference_all_t047,UNSCORED,0.5718446601941748,,,,,,,,,,,"OFFLINE-ONLY all-24 reference with fixed threshold 0.47, within-side rank mapping. Selection OOF F1 0.967231638 / composite 0.977637371; Test 589 positives; no public result; not queued."
